"","country","mean_ll","mean_fer","mean_sucide","mean_d_pollut","mean_g"
"1","Afghanistan",3.70549511909485,5.6866,4.13636363636364,4.40885806470932,NA
"2","Albania",4.99021066318859,1.61851818181818,6.00909090909091,3.61744185216378,NA
"3","Algeria",5.48187249047416,2.97232857142857,2.75714285714286,4.93136215923484,NA
"4","Angola",4.4202988743782,5.993975,6.7,4.12469551334748,NA
"5","Argentina",6.35895109176636,2.29633076923077,8.67692307692308,4.70923393493531,0.42103679
"6","Armenia",4.43866502321683,1.54031538461538,5.53846153846154,4.05590176227599,NA
"7","Australia",7.29808139801025,1.87613333333333,11.5,3.72030744525518,0.32075
"8","Austria",7.24909968809648,1.45783636363636,15.6363636363636,4.01416141774151,NA
"9","Azerbaijan",4.92311154879056,2.03139230769231,4.38461538461539,4.4436629481208,NA
"10","Bahrain",5.86086331473456,2.10288888888889,7.75555555555556,3.08151281332783,NA
"11","Bangladesh",4.68648187930767,2.28876923076923,4.01538461538462,5.45867028146565,NA
"12","Belarus",5.55190181732178,1.54779230769231,30.3076923076923,4.64903576126028,NA
"13","Belgium",7.01086552937825,1.75398333333333,19.1666666666667,4.18789841110041,NA
"14","Belize",6.2031455039978,2.6824,5.6,2.08902125775537,NA
"15","Benin",3.91925513744354,5.36149,8.21,3.76220605490738,NA
"16","Bhutan",5.19659948348999,2.02393333333333,4.43333333333333,2.85065891490248,NA
"17","Bolivia",5.75129336577195,3.09552307692308,NA,4.05054147627038,NA
"18","Bosnia and Herzegovina",5.08614388379184,1.293,10.0909090909091,4.11470350652312,NA
"19","Botswana",4.04418531331149,2.97809090909091,21.6363636363636,3.36997389183286,NA
"20","Brazil",6.67067056543687,1.81801764705882,5.40588235294118,5.34312880853704,0.575972126666667
"21","Bulgaria",4.41838915348053,1.52856,10.62,4.59968450610061,NA
"22","Burkina Faso",4.12058212359746,5.68765,7.98333333333333,3.93918939502382,NA
"23","Burundi",3.54812417030334,6.04134,7.2,3.36412487541617,NA
"24","Cambodia",4.18364508335407,2.72201538461538,5.28461538461538,3.99162403414554,NA
"25","Cameroon",4.5505739908952,5.02170769230769,10.0461538461538,4.48600093120983,NA
"26","Canada",7.4239083803617,1.59366923076923,11.7692307692308,4.20477987310452,0.314777777777778
"27","Central African Republic",3.51495432853699,5.97582,14.4,3.38866610692248,NA
"28","Chad",4.0294232735267,6.85288461538462,7.27692307692308,3.80351440097353,NA
"29","Chile",6.40442800521851,1.76407692307692,10.3692307692308,4.25532897289556,NA
"30","China",4.98499334775485,1.70543076923077,9.39230769230769,7.05545471829207,NA
"31","Colombia",6.28213699047382,1.95590769230769,4.02307692307692,4.66983208647105,NA
"32","Comoros",3.81103281974792,4.62156,5.26,2.16158931945826,NA
"33","Congo (Brazzaville)",4.38271676169501,NA,NA,NA,NA
"34","Congo (Kinshasa)",4.34844091534615,NA,NA,NA,NA
"35","Costa Rica",7.19333564318143,1.87573846153846,6.58461538461538,3.31951301765784,NA
"36","Croatia",5.54824686050415,1.47589090909091,16.8181818181818,4.08591819712159,NA
"37","Cuba",5.41786861419678,1.3896,12,4.25598981218168,NA
"38","Cyprus",6.0878589370034,1.37523636363636,4.66363636363636,3.05933186760319,NA
"39","Czech Republic",6.56395201249556,NA,NA,NA,NA
"40","Denmark",7.6920720247122,1.77147692307692,11.6923076923077,3.75206488096538,NA
"41","Djibouti",4.82256495952606,3.4428,8.025,2.89280349533345,NA
"42","Dominican Republic",5.15922212600708,2.47600769230769,5.33076923076923,3.99264429771058,NA
"43","Ecuador",5.76494910166814,2.46390769230769,9.47692307692308,4.10394207380597,NA
"44","Egypt",4.55008224340586,3.23253076923077,3.19230769230769,5.66403371280007,NA
"45","El Salvador",5.95369962545542,2.15300769230769,6.74615384615385,3.66997353159966,NA
"46","Estonia",5.53126947085063,1.61458333333333,18.5,2.78948699866585,NA
"47","Ethiopia",4.42046056474958,4.5642,5.58571428571429,4.49364854441647,NA
"48","Finland",7.55400995774703,1.70360909090909,16.8181818181818,3.1367018469216,0.257571428571429
"49","France",6.66477361092201,1.94905384615385,16.5384615384615,4.85437548966105,0.292052430161049
"50","Gabon",4.37549862265587,3.9184,9.1875,3.32073073520104,NA
"51","Gambia",4.52001905441284,5.0314,4.85,3.0976915966173,NA
"52","Georgia",4.1703825547145,1.96125384615385,8.71538461538461,4.05447134970122,NA
"53","Germany",6.7613312403361,1.43602,12.4666666666667,5.21781421544938,0.390444444444444
